dist,idx_problem,n_segments,displace_func,reoptm_standard_form,reoptm_ldr,reoptm_pwldr_uniform,reoptm_pwldr_optimize,reoptm_eev,dr_ldr,dr_pwldr_uniform,dr_pwldr_optimize,obj_value_ldr,obj_value_pwldr_uniform,obj_value_pwldr_optimize,obj_value_eev,obj_value_standard_form,ws,opt_time
"Normal 50,5 - 35,65",4,3,black_box,22132.72757520371,25494.499057388293,22915.321945019823,22172.108157778726,22143.0629654668,25494.499057388293,23155.124721526485,22889.296284437492,25499.110969383884,23167.033052883773,22898.22163283631,21621.2477858386,22103.932021816494,21609.983376242162,21.736999988555908
"Normal 50,5 - 35,65",4,3,ls_independent,22132.72757520371,25494.499057388293,22915.321945019823,22162.184553571817,22143.0629654668,25494.499057388293,23155.124721526485,22805.25884994425,25499.110969383884,23167.033052883773,22820.79127948539,21621.2477858386,22103.932021816494,21609.983376242162,6.778000116348267
"Normal 50,5 - 35,65",4,3,ls_dependent,22132.72757520371,25494.499057388293,22915.321945019823,22165.334268128045,22143.0629654668,25494.499057388293,23155.124721526485,22801.545344447037,25499.110969383884,23167.033052883773,22816.793456894833,21621.2477858386,22103.932021816494,21609.983376242162,25.068000078201294
"Normal 50,5 - 35,65",4,4,black_box,22132.72757520371,25494.499057388293,22143.0629654668,22135.113419042747,22143.0629654668,25494.499057388293,22828.88519324442,22819.32361173774,25499.110969383884,22844.056204735825,22830.714610848943,21621.2477858386,22103.932021816494,21609.983376242162,34.53500008583069
"Normal 50,5 - 35,65",4,4,ls_independent,22132.72757520371,25494.499057388293,22143.0629654668,22159.412240541136,22143.0629654668,25494.499057388293,22828.88519324442,22804.101027488032,25499.110969383884,22844.056204735825,22819.507407684127,21621.2477858386,22103.932021816494,21609.983376242162,14.351999998092651
"Normal 50,5 - 35,65",4,4,ls_dependent,22132.72757520371,25494.499057388293,22143.0629654668,22159.412240541136,22143.0629654668,25494.499057388293,22828.88519324442,22804.10102748804,25499.110969383884,22844.056204735825,22819.507407684127,21621.2477858386,22103.932021816494,21609.983376242162,6.740999937057495
"Normal 50,5 - 35,65",4,5,black_box,22132.72757520371,25494.499057388293,22444.54570547463,22176.927397148094,22143.0629654668,25494.499057388293,22892.352102886754,22817.168787975086,25499.110969383884,22908.463998155814,22827.809144778264,21621.2477858386,22103.932021816494,21609.983376242162,50.902000188827515
"Normal 50,5 - 35,65",4,5,ls_independent,22132.72757520371,25494.499057388293,22444.54570547463,22155.809792934837,22143.0629654668,25494.499057388293,22892.352102886754,22801.247800337842,25499.110969383884,22908.463998155814,22816.724029701658,21621.2477858386,22103.932021816494,21609.983376242162,15.990999937057495
"Normal 50,5 - 35,65",4,5,ls_dependent,22132.72757520371,25494.499057388293,22444.54570547463,22155.66638900753,22143.0629654668,25494.499057388293,22892.352102886754,22801.18704179454,25499.110969383884,22908.463998155814,22816.67075320057,21621.2477858386,22103.932021816494,21609.983376242162,27.94000005722046
"Normal 50,5 - 35,65",4,6,black_box,22132.72757520371,25494.499057388293,22143.0629654668,22168.25591331395,22143.0629654668,25494.499057388293,22827.00786411613,22815.721314746872,25499.110969383884,22842.099726988927,22828.439741083228,21621.2477858386,22103.932021816494,21609.983376242162,69.4190001487732
"Normal 50,5 - 35,65",4,6,ls_independent,22132.72757520371,25494.499057388293,22143.0629654668,22157.88517694995,22143.0629654668,25494.499057388293,22827.00786411613,22800.548617065382,25499.110969383884,22842.099726988927,22816.413639359904,21621.2477858386,22103.932021816494,21609.983376242162,47.53699994087219
"Normal 50,5 - 35,65",4,6,ls_dependent,22132.72757520371,25494.499057388293,22143.0629654668,22157.88517694995,22143.0629654668,25494.499057388293,22827.00786411613,22800.548617065382,25499.110969383884,22842.099726988927,22816.413639359904,21621.2477858386,22103.932021816494,21609.983376242162,19.97100019454956
